"title","location","price","product_url"
"Single room in nice House, Sheperd's Bush","Shepherds Bush, London","653.55","/p/single-room-flatshare/single-room-in-nice-house-sheperd-s-bush/1146954056"
"Spacious room at 10 minutes walk from Camden","Kentish Town, London","609.98","/p/single-room-flatshare/spacious-room-at-10-minutes-walk-from-camden/1146949871"
"Spacious Room at 10 mins walk from Camden","Camden, London","609.98","/p/single-room-flatshare/spacious-room-at-10-mins-walk-from-camden-/1146949506"
"SINGLE ROOM AVAILABLE IN WHITECHAPEL (EAST LONDON) 90PW, ALL BILLS ARE INCLUDED","Whitechapel, London","392.13","/p/single-room-flatshare/single-room-available-in-whitechapel-east-london-90pw-all-bills-are-included/1146948788"
"SINGLE ROOM 2 MINUTES WALKING FROM WHITECHAPEL STATION (EAST LONDON) 90 PW, ALL BILLS ARE INCLUDED","Whitechapel, London","392.13","/p/single-room-flatshare/single-room-2-minutes-walking-from-whitechapel-station-east-london-90-pw-all-bills-are-included/1146947505"
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"Single Room to let / House Share","Kilburn, London","650.0","/p/single-room-flatshare/single-room-to-let-house-share/1146064701"
"Brand New Property 1Min Walking Swiss Cottage Stat","Swiss Cottage, London","609.98","/p/single-room-flatshare/brand-new-property-1min-walking-swiss-cottage-stat/1146946450"
"Massive Single Room in Arsenal/Finsbury Park","Islington, London","588.195","/p/single-room-flatshare/massive-single-room-in-arsenal-finsbury-park/1146945788"
"Nice room in Peckham. All bills. 480","Southwark, London","480.0","/p/single-room-flatshare/nice-room-in-peckham.-all-bills.-480/1146940863"
"kensal rise single room","Queens Park, London","413.915","/p/single-room-flatshare/-kensal-rise-single-room/1146939437"
"king's cross single room","Camden, London","588.195","/p/single-room-flatshare/king-s-cross-single-room/1146937885"
"NEED TO MOVE AS SOON AS POSSIBLE???!!!SINGLE ROOM!NO DEPOSIT!!!!","Tower Hamlets, London","522.84","/p/single-room-flatshare/need-to-move-as-soon-as-possible-single-room-no-deposit-/1146937756"
"*Xmas Sale* 2 Cheap Rooms*7 Min to London Bridge","London Bridge, London","501.055","/p/single-room-flatshare/-xmas-sale-2-cheap-rooms-7-min-to-london-bridge/1146933938"
"Single room in Suburb House","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house-/1146931493"
"CLEAN BRIGHT SINGLE ROOM IN NW2","Kilburn, London","528.0","/p/single-room-flatshare/clean-bright-single-room-in-nw2/1146930524"
"Single room in Shadwell (Zone 2)","Whitechapel, London","501.055","/p/single-room-flatshare/single-room-in-shadwell-zone-2-/1146928016"
"Cosy single room in Kensal Green - zone 2","Willesden, London","631.765","/p/single-room-flatshare/cosy-single-room-in-kensal-green-zone-2/1146927986"
"AVAILABLE NOW!Single room in bright new flat!!","Kilburn, London","653.55","/p/single-room-flatshare/available-now-single-room-in-bright-new-flat-/1146927376"
"Nice Single Room, walking distance from Camden Town, Living Room","Islington, London","479.27","/p/single-room-flatshare/nice-single-room-walking-distance-from-camden-town-living-room/1146926680"
"Double room to rent for cheap in nice area! Stratford staion 15 minute walk!!!","Whitechapel, London","588.195","/p/single-room-flatshare/double-room-to-rent-for-cheap-in-nice-area-stratford-staion-15-minute-walk-/1146926514"
"Rent my large room in 3-bedroom flat right off Bermondsey Street - Perfect location!","Tower Bridge, London","1080.0","/p/single-room-flatshare/rent-my-large-room-in-3-bedroom-flat-right-off-bermondsey-street-perfect-location-/1145810772"
"Single room in a nice house, East Acton","Shepherds Bush, London","609.98","/p/single-room-flatshare/single-room-in-a-nice-house-east-acton/1146925345"
"Single Room to let near Bethnal Green Tube in a Shared Flat, &#163;330 pm including, Bangladeshi Prefer","Bethnal Green, London","330.0","/p/single-room-flatshare/single-room-to-let-near-bethnal-green-tube-in-a-shared-flat-&#163;330-pm-including-bangladeshi-prefer/1146922321"
"Single room in Suburb House","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house/1146918063"
"Single room * Stepney Green Station * Bethnal Green* Inclusive Bills * Wifi*Cleaner*Professionals .","Bethnal Green, London","609.98","/p/single-room-flatshare/single-room-stepney-green-station-bethnal-green-inclusive-bills-wifi-cleaner-professionals-./1146909431"
"Bright single room with double bed in beautiful house, no bills!","Lambeth, London","495.0","/p/single-room-flatshare/bright-single-room-with-double-bed-in-beautiful-house-no-bills-/1146906428"
"1 Single bed room to let in flatshare At Hoxton & Liverpool St","Hackney, London","544.625","/p/single-room-flatshare/1-single-bed-room-to-let-in-flatshare-at-hoxton-liverpool-st-/1146894121"
"Battersea bridge Sunny single room to rent SW11","Chelsea, London","522.84","/p/single-room-flatshare/battersea-bridge-sunny-single-room-to-rent-sw11/1146890493"
"Spacious single room in Kentish Town &#163;640pcm avail from 22th Dec","Kentish Town, London","640.0","/p/single-room-flatshare/spacious-single-room-in-kentish-town-&#163;640pcm-avail-from-22th-dec/1146636737"
"Available now large double bedroom. 5-minute walk to Shadwell and Whitechapel Stations","Whitechapel, London","600.0","/p/single-room-flatshare/available-now-large-double-bedroom.-5-minute-walk-to-shadwell-and-whitechapel-stations/1146887042"
"Nice, small single room to let in Cricklewood","Kilburn, London","501.055","/p/single-room-flatshare/nice-small-single-room-to-let-in-cricklewood/1146885498"
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
